Name,Gender,Country,Party,Position,Branch,YearTookOffice,YearLeftOffice,Status,Twitter,Has_Twitter,match_score,univ_Gender,univ_Country,univ_Party,univ_Position,univ_Branch,univ_Role,univ_YearTookOffice,univ_Status,univ_Region
Alexander Radwan,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,AlexanderRadwan,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Alexander Throm,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,alexander_throm,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Alexander Throm,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,alexander_throm,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Alexander Throm,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,alexander_throm,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Alexander Ulrich,Male,Germany,Sahra Wagenknecht Alliance,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,m,Germany,BSW,,Legislative,Bundestag,2021,Incumbent,
Alexander Ulrich,Male,Germany,Sahra Wagenknecht Alliance,member of the German Bundestag,Legislative,2021,,Current,,False,100.0,m,Germany,BSW,,Legislative,Bundestag,2021,Incumbent,
Ali Al-Dailami,Male,Germany,Sahra Wagenknecht Alliance,member of the German Bundestag,Legislative,2021,2025,Former,,False,100.0,m,Germany,BSW,,Legislative,Bundestag,2021,Incumbent,
Alice Weidel,Female,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2017,2021,Former,Alice_Weidel,True,100.0,f,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Alice Weidel,Female,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,Alice_Weidel,True,100.0,f,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Alice Weidel,Female,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2021,,Current,Alice_Weidel,True,100.0,f,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Alois Gerig,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,m,Germany,CDU,,Legislative,Bundestag,2017,Previous,
Alois Karl,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,presse_mdlkarl,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2017,Previous,
Alois Rainer,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,AloisRainer,True,100.0,m,Germany,CSU,"Federal Minister of Agriculture, Food and Regional Identity",Executive,Cabinet,2025,Incumbent,
Alois Rainer,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,AloisRainer,True,100.0,m,Germany,CSU,"Federal Minister of Agriculture, Food and Regional Identity",Executive,Cabinet,2025,Incumbent,
Alois Rainer,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,AloisRainer,True,100.0,m,Germany,CSU,"Federal Minister of Agriculture, Food and Regional Identity",Executive,Cabinet,2025,Incumbent,
